pressure,temperature_mean,salinity_mean
0,14.245191250000001,37.916287499999996
1,14.249119153453499,37.9171348137336
2,14.250761914693992,37.91660247866132
3,14.253708476138732,37.91336559728301
4,14.25591619811009,37.911853202766636
5,14.254141290276822,37.91424264979647
6,14.250340897175539,37.91571134416378
7,14.249436419564399,37.91697275216478
8,14.245817598079206,37.920350781249994
9,14.246216252374875,37.92961852775259
10,14.245124457234985,37.931839421666034
11,14.24805855,37.940124999999995
12,14.24747955450463,37.94495123905549
13,14.244137499999999,37.951375
14,14.230433307524343,37.96075723233792
15,14.223325,37.966499999999996
16,14.220654645267818,37.98206325261488
17,14.2180625,37.985125
18,14.22563745476344,37.99416807471956
19,14.230406078706476,38.00061024305555
20,14.233482189092095,38.01344089950501
21,14.2299125,38.01925000000001
22,14.229482247251372,38.02054196706235
23,14.21629976462362,38.028830218965055
24,14.211792643829616,38.0307133900623
25,14.216275,38.039875
26,14.207750744018853,38.04559842984733
27,14.210620172802404,38.05400563486101
28,14.21444494600596,38.06090310550929
29,14.213803317901235,38.06275000000001
30,14.211422759478133,38.06589506416595
31,14.20785,38.069375
32,14.20564814914937,38.071759489055886
33,14.208450000000003,38.075375
34,14.205389273767537,38.07643851464186
35,14.201673380419368,38.08234374149326
36,14.197186644631387,38.08564220963674
37,14.188137499999998,38.08749999999999
38,14.185899571617536,38.09085487825289
39,14.1712125,38.096875000000004
40,14.173861416432532,38.09962527477814
41,14.162175000000001,38.1035
42,14.15933697009451,38.105427295035845
43,14.15667392939815,38.10914467592592
44,14.158084788571262,38.11460055701174
45,14.1591375,38.1175
46,14.158609190574646,38.124643696380886
47,14.157425000000002,38.127375
48,14.15538188225918,38.13465784382855
49,14.1570125,38.141
50,14.15073299819143,38.147045393643154
51,14.149725,38.1515
52,14.15263816021498,38.15606342120674
53,14.15115,38.167625
54,14.15195183692396,38.171716443470096
55,14.150624999999998,38.185500000000005
56,14.14490845069678,38.193819783853215
57,14.149750000000001,38.198874999999994
58,14.149679532827053,38.20011559112182
59,14.1423625,38.20675
60,14.139368294526324,38.20835567021885
61,14.127259025169048,38.21025291134485
62,14.124604856017738,38.21261866131155
63,14.1129125,38.212999999999994
64,14.11256124106885,38.214361609733686
65,14.0979125,38.217999999999996
66,14.097062794696352,38.21990926032669
67,14.0975625,38.225
68,14.10270529017135,38.22897507019462
69,14.09666696473834,38.23153400582609
70,14.080586590030022,38.23329168342758
71,14.080717542743741,38.23662589049461
72,14.085162057694207,38.24240093551668
73,14.085412499999999,38.245000000000005
74,14.083865722258613,38.24813992015501
75,14.08255648148148,38.25115740740741
76,14.082320237769624,38.25285519726909
77,14.084274999999998,38.258375
78,14.081163259533138,38.25879355050096
79,14.08585,38.26575
80,14.083197288560592,38.26701535723884
81,14.07963921489699,38.27098253193088
82,14.068873171938677,38.27147371107189
83,14.071025,38.275
84,14.06660663812265,38.277159947966105
85,14.068362499999997,38.280625
86,14.072730666942768,38.28479335766501
87,14.081275,38.290875
88,14.087182104751964,38.29359633083978
89,14.0988,38.299
90,14.101336542216805,38.30140154959865
91,14.111237499999998,38.306250000000006
92,14.1116561175427,38.307561333474894
93,14.116625,38.312625000000004
94,14.12025981694441,38.315458582961675
95,14.120534574160862,38.31886626596543
96,14.123868447860092,38.32113566123319
97,14.125662499999997,38.323375
98,14.12338220999465,38.3240452249657
99,14.130362499999999,38.328374999999994
100,14.125082219847707,38.32945852779702
101,14.126612499999998,38.33225
102,14.116359376705985,38.33292763748367
103,14.118235734953704,38.33452213541667
104,14.109355465136577,38.33654170178919
105,14.116625,38.339999999999996
106,14.11444422118687,38.34347198895456
107,14.1146,38.34625
108,14.106731175579782,38.348296424649945
109,14.108439539930556,38.352022049142036
110,14.099792364452053,38.35267060884447
111,14.08856545138889,38.35301967592593
112,14.078669603425238,38.35378916562521
113,14.074737500000001,38.354375
114,14.072125198884674,38.35630912990119
115,14.0687625,38.357125
116,14.071994302161157,38.35991143436184
117,14.066637499999999,38.360375000000005
118,14.063741216584047,38.36084397861422
119,14.056512499999998,38.360375
120,14.048772158281894,38.36079735288065
121,14.0465,38.362125
122,14.04341825338632,38.36277293863505
123,14.0420375,38.363625
124,14.037645181408891,38.363763333032516
125,14.036184962046027,38.364422756338435
126,14.033179343706488,38.36767300903802
127,14.035869713557643,38.370667339530925
128,14.040805740230415,38.37506004296575
129,14.050075,38.381375
130,14.051002510706574,38.38506634565953
131,14.0522,38.38675
132,14.054014870792852,38.388601968507665
133,14.056187500000002,38.393625
134,14.056231187144643,38.39549751843194
135,14.0489,38.396499999999996
136,14.047006971139446,38.397427704560236
137,14.044712499999997,38.399125
138,14.044578573352238,38.40192466039024
139,14.037725000000002,38.401625
140,14.03945719902544,38.40416484450716
141,14.037612499999998,38.40625
142,14.03504773296067,38.408129481477964
143,14.036662499999998,38.412000000000006
144,14.032096509713707,38.41451053233694
145,14.0259875,38.414874999999995
146,14.025356214102509,38.41734341040494
147,14.0203,38.4185
148,14.01977175680713,38.421268274915484
149,14.025408802837374,38.42505854859637
150,14.042766219365141,38.431983048075274
151,14.04315,38.4335
152,14.044342655499612,38.436442091178115
153,14.0451625,38.438
154,14.03717955429398,38.43857485253959
155,14.0351375,38.439750000000004
156,14.024732134474156,38.4401068185843
157,14.0284125,38.442499999999995
158,14.020867440481954,38.44368438191836
159,14.0147625,38.4445
160,14.004829328529034,38.44510928912873
161,14.003325,38.445875
162,13.998546384080448,38.4463417613846
163,13.996762500000003,38.449375
164,13.994154718460953,38.452291908155246
165,13.9957375,38.454
166,13.995359666276402,38.45574501364265
167,13.993582337841222,38.45877460555973
168,13.991635141034985,38.45954516599854
169,13.992146296296298,38.46080555555555
170,13.990811235763887,38.46232157986111
171,13.997424999999998,38.465625
172,13.998389951566853,38.466504257421185
173,14.009853458915156,38.47174545628579
174,14.014100490412359,38.475374684647875
175,14.018122069872277,38.47799126596544
176,14.01912688214374,38.48146218155506
177,14.018010542549197,38.4825162328539
178,14.020452484544409,38.48426664257417
179,14.018715624581299,38.487162474088066
180,14.025531653175458,38.49259620197539
181,14.0235375,38.49427329075883
182,14.02444933640476,38.49887857629658
183,14.025514437331548,38.500875
184,14.026183697428856,38.50442799227261
185,14.027644461753566,38.50569130002318
186,14.02395966605198,38.51008976703509
187,14.017294444444445,38.50962037037037
188,14.013606979451541,38.51202458827948
189,14.003075,38.510875
190,14.003971417643946,38.512538254778896
191,14.000310186727456,38.5137790111246
192,14.004203720535,38.51648260767748
193,14.003125000000002,38.51875
194,14.00506174820188,38.520846640838805
195,13.9966,38.52275
196,13.992986417910226,38.52370176423
197,13.9933,38.527249999999995
198,13.990880177923541,38.52864324947717
199,13.991725,38.52975
200,13.988483272307022,38.53014991697459
201,13.986375,38.531499999999994
202,13.982010831638267,38.5319383750478
203,13.988872689601177,38.535
204,13.990273881169038,38.53668911078079
205,13.9867,38.537124999999996
206,13.988600192713664,38.53984265661443
207,13.9909875,38.541124999999994
208,13.993923569017156,38.54250580698583
209,13.992112499999998,38.543375
210,13.986815656191633,38.54373208159555
211,13.986462499999998,38.544375
212,13.98324024125383,38.54555104701496
213,13.979075,38.545625
214,13.975321180293479,38.54616307391332
215,13.9760625,38.547875
216,13.975242884447077,38.549667505486966
217,13.975962500000001,38.55075
218,13.970900020188393,38.55245411928183
219,13.971400000000001,38.553
220,13.970946810276342,38.55374720815374
221,13.963127234315731,38.55545261572287
222,13.960578419451334,38.55613886399079
223,13.957025000000002,38.55625
224,13.949627751108178,38.55712794476064
225,13.947500000000002,38.557625
226,13.94921244536605,38.56018990189363
227,13.95447482638889,38.56314713541667
228,13.954301411422756,38.56574387418553
229,13.958212499999998,38.567875
230,13.958842198537521,38.569435411459075
231,13.9602875,38.57175
232,13.95891188253439,38.572403085568155
233,13.955049999999998,38.574375
234,13.952457674801682,38.5744270996116
235,13.947849999999999,38.5765
236,13.946558064047885,38.57780022965189
237,13.947925,38.579874999999994
238,13.948521319623065,38.58203795534263
239,13.9542625,38.5845
240,13.956488458264506,38.58711353888009
241,13.9560125,38.588875
242,13.957317694375423,38.58986029065525
243,13.959777854996243,38.59272962058603
244,13.95962391930966,38.593970224415294
245,13.963025,38.59587500000001
246,13.963196248524518,38.59618290998121
247,13.9647,38.597875
248,13.957478551810055,38.59751679412079
249,13.953775000000002,38.597249999999995
250,13.945751078314519,38.59750035968294
251,13.943312500000001,38.59737499999999
252,13.944761968233454,38.599248128685055
253,13.943175,38.59949999999999
254,13.942606085577552,38.60054253284371
255,13.9393,38.601
256,13.9381132527175,38.601451948143634
257,13.936186474377035,38.601995081018515
258,13.937220378625248,38.602817857562464
259,13.937202314814815,38.60448148148148
260,13.938585404681069,38.60585992935528
261,13.938612500000001,38.606875
262,13.939553312595185,38.60802544872766
263,13.940087499999999,38.608625
264,13.941589913027832,38.6100188309011
