pressure,temperature,salinity
0,13.906060000000002,38.218799999999995
1,13.931902994483846,38.198967078189305
2,13.9276,38.207
3,13.93208567645202,38.21000725446428
4,13.95082138166864,38.19458454241071
5,13.9555956779822,38.191044921875
6,13.956,38.191
7,13.955835939643347,38.19087379972565
8,13.9547,38.19
9,13.954199588477366,38.19
10,13.9535,38.19
11,13.9559,38.19
12,13.95597,38.190028
13,13.9584,38.191
14,13.9583792,38.191
15,13.9582,38.191
16,13.9582312,38.191
17,13.9585,38.191
18,13.9587184,38.191208
19,13.9606,38.193
20,13.960216528925619,38.19291284748309
21,13.9562,38.192
22,13.956306310013717,38.192
23,13.9593,38.192
24,13.959590260631003,38.192252400548696
25,13.9616,38.194
26,13.977600000000002,38.2
27,13.9936,38.206
28,14.055202880658436,38.22871879286694
29,14.0641,38.232
30,14.0722,38.237
31,14.0722,38.237
32,14.07151851851852,38.23712620027435
33,14.0668,38.238
34,14.054706721536352,38.23674897119342
35,14.0378,38.235
36,14.026178463648835,38.236747599451306
37,14.0245,38.237
38,14.0245,38.237
39,13.9956,38.251
40,13.994327709190673,38.2512743484225
41,13.9585,38.259
42,13.954575171467765,38.25912620027435
43,13.9274,38.26
44,13.922888888888888,38.260518518518516
45,13.91,38.262
46,13.907535999999999,38.264112
47,13.903,38.268
48,13.9177,38.278499999999994
49,13.9324,38.289
50,13.94375,38.293499999999995
51,13.9551,38.298
52,13.9912504,38.311376
53,14.0578,38.336
54,14.0854264,38.346368
55,14.1857,38.384
56,14.191651765589782,38.38637340345605
57,14.2183,38.397
58,14.218320799999999,38.397208
59,14.2185,38.399
60,14.214255672426749,38.39838993238167
61,14.1698,38.392
62,14.1679016,38.391748
63,14.102,38.383
64,14.100658800000001,38.382916
65,14.0541,38.38
66,14.053394290007514,38.379953418482344
67,14.0238,38.378
68,14.0238,38.378
69,13.960424747324028,38.37213974455297
70,13.891984061662072,38.37291284748309
71,13.8881,38.373
72,13.882704958677687,38.38117430503381
73,13.8815,38.383
74,13.842296,38.375872
75,13.821,38.372
76,13.785273102930127,38.36551990984223
77,13.7383,38.357
78,13.725628,38.353832
79,13.7023,38.348
80,13.6883546875,38.345265625
81,13.6819,38.344
82,13.680641426611798,38.343862825788754
83,13.6452,38.34
84,13.643,38.340999999999994
85,13.6408,38.342
86,13.6408,38.342
87,13.6526,38.347
88,13.6656359375,38.351429687499994
89,13.6938,38.361
90,13.730587499999999,38.372812499999995
91,13.7374,38.375
92,13.737907544581617,38.375240054869685
93,13.7522,38.382
94,13.750782167352538,38.38450205761317
95,13.7488,38.388
