datetime,U_DYFAMED,datenum,lat,lon
2025-02-04 18:00:00,6.8,20123.75,43.38,7.83
2025-02-04 19:00:00,5.8,20123.791666666668,43.38,7.83
2025-02-04 20:00:00,4.9,20123.833333333332,43.38,7.83
2025-02-04 21:00:00,5.2,20123.875,43.38,7.83
2025-02-04 22:00:00,4.9,20123.916666666668,43.38,7.83
2025-02-04 23:00:00,3.7,20123.958333333332,43.38,7.83
2025-02-05 00:00:00,2.7,20124.0,43.38,7.83
2025-02-05 01:00:00,2.2,20124.041666666668,43.38,7.83
2025-02-05 02:00:00,2.5,20124.083333333332,43.38,7.83
2025-02-05 03:00:00,2.1,20124.125,43.38,7.83
2025-02-05 04:00:00,2.0,20124.166666666668,43.38,7.83
2025-02-05 05:00:00,1.8,20124.208333333332,43.38,7.83
2025-02-05 06:00:00,2.5,20124.25,43.38,7.83
2025-02-05 07:00:00,3.0,20124.291666666668,43.38,7.83
2025-02-05 08:00:00,2.8,20124.333333333332,43.38,7.83
2025-02-05 09:00:00,3.7,20124.375,43.38,7.83
2025-02-05 10:00:00,4.6,20124.416666666668,43.38,7.83
2025-02-05 11:00:00,3.8,20124.458333333332,43.38,7.83
2025-02-05 12:00:00,2.8,20124.5,43.38,7.83
2025-02-05 13:00:00,2.8,20124.541666666668,43.38,7.83
2025-02-05 14:00:00,2.8,20124.583333333332,43.38,7.83
2025-02-05 15:00:00,2.3,20124.625,43.38,7.83
2025-02-05 16:00:00,2.6,20124.666666666668,43.38,7.83
2025-02-05 17:00:00,2.6,20124.708333333332,43.38,7.83
2025-02-05 18:00:00,2.4,20124.75,43.38,7.83
2025-02-05 19:00:00,2.8,20124.791666666668,43.38,7.83
2025-02-05 20:00:00,3.6,20124.833333333332,43.38,7.83
2025-02-05 21:00:00,3.9,20124.875,43.38,7.83
2025-02-05 22:00:00,3.3,20124.916666666668,43.38,7.83
2025-02-05 23:00:00,3.5,20124.958333333332,43.38,7.83
2025-02-06 00:00:00,2.9,20125.0,43.38,7.83
2025-02-06 01:00:00,3.0,20125.041666666668,43.38,7.83
2025-02-06 02:00:00,2.4,20125.083333333332,43.38,7.83
2025-02-06 03:00:00,2.2,20125.125,43.38,7.83
2025-02-06 04:00:00,2.7,20125.166666666668,43.38,7.83
2025-02-06 05:00:00,4.0,20125.208333333332,43.38,7.83
2025-02-06 06:00:00,6.3,20125.25,43.38,7.83
2025-02-06 07:00:00,6.7,20125.291666666668,43.38,7.83
2025-02-06 08:00:00,6.0,20125.333333333332,43.38,7.83
2025-02-06 09:00:00,7.2,20125.375,43.38,7.83
2025-02-06 10:00:00,5.9,20125.416666666668,43.38,7.83
2025-02-06 11:00:00,7.3,20125.458333333332,43.38,7.83
2025-02-06 12:00:00,7.5,20125.5,43.38,7.83
2025-02-06 13:00:00,6.1,20125.541666666668,43.38,7.83
