Depth_m,SoundSpeed_mps,Temperature_degC,Salinity_PSU
1,1507.75023819735,14.2491191534535,37.91713481
2,1507.77160940233,14.250761914694,37.9166024786613
3,1507.79375998927,14.2537084761387,37.913365597283
4,1507.81570860068,14.2559161981101,37.9118532027666
5,1507.8298283157,14.2541412902768,37.9142426497965
6,1507.83633454159,14.2503408971755,37.9157113441638
7,1507.85182102501,14.2494364195644,37.9169727521648
8,1507.86129158038,14.2458175980792,37.92035078125
9,1507.89094336488,14.2462162523749,37.9296185277526
10,1507.90703133008,14.245124457235,37.931839421666
11,1507.94354635171,14.24805855,37.940125
12,1507.96452753351,14.2474795545046,37.9449512390555
13,1507.97868860582,14.2441375,37.951375
14,1507.96347282597,14.2304333075243,37.9607572323379
15,1507.96475406189,14.223325,37.9665
16,1507.99248032505,14.2206546452678,37.9820632526149
17,1508.00482702235,14.2180625,37.985125
18,1508.05711471568,14.2256374547634,37.9941680747196
19,1508.09718784304,14.2304060787065,38.0006102430555
20,1508.13984331771,14.2334821890921,38.013440899505
21,1508.15250812445,14.2299125,38.01925
22,1508.16954666644,14.2294822472514,38.0205419670623
23,1508.15461821962,14.2162997646236,38.0288302189651
24,1508.15937612701,14.2117926438296,38.03071339
25,1508.2019416862,14.216275,38.039875
26,1508.19867193424,14.2077507440189,38.0455984298473
27,1508.23514510843,14.2106201728024,38.054005634861
28,1508.27278056756,14.214444946006,38.0609031055093
29,1508.28983795073,14.2138033179012,38.06275
30,1508.30296534602,14.2114227594781,38.065895064166
31,1508.31270340836,14.20785,38.069375
32,1508.32544953892,14.2056481491494,38.0717594890559
33,1508.35571670089,14.20845,38.075375
34,1508.36406806524,14.2053892737675,38.0764385146419
35,1508.37638014933,14.2016733804194,38.0823437414933
36,1508.38296887918,14.1971866446314,38.0856422096367
37,1508.37317559058,14.1881375,38.0875
38,1508.38701669607,14.1858995716175,38.0908548782529
39,1508.3643969962,14.1712125,38.096875
40,1508.39310224862,14.1738614164325,38.0996252747781
41,1508.37738039147,14.162175,38.1035
42,1508.38751210207,14.1593369700945,38.1054272950358
43,1508.40044198377,14.1566739293981,38.1091446759259
44,1508.42857582325,14.1580847885713,38.1146005570117
45,1508.45236648416,14.1591375,38.1175
46,1508.47640994771,14.1586091905746,38.1246436963809
47,1508.49283658528,14.157425,38.127375
48,1508.51220957413,14.1553818822592,38.1346578438285
49,1508.542155711,14.1570125,38.141
50,1508.54643084944,14.1507329981914,38.1470453936432
51,1508.56557661245,14.149725,38.1515
52,1508.59740125469,14.152638160215,38.1560634212067
53,1508.6239022696,14.15115,38.167625
54,1508.64838324225,14.151951836924,38.1717164434701
55,1508.67818052343,14.150625,38.1855
56,1508.68710081337,14.1449084506968,38.1938197838532
57,1508.72571048437,14.14975,38.198875
58,1508.7438353468,14.1496795328271,38.2001155911218
59,1508.74552703651,14.1423625,38.20675
60,1508.75475452376,14.1393682945263,38.2083556702189
61,1508.7351762382,14.127259025169,38.2102529113449
62,1508.74643917185,14.1246048560177,38.2126186613116
63,1508.72628317301,14.1129125,38.213
64,1508.74366015409,14.1125612410688,38.2143616097337
65,1508.71809806116,14.0979125,38.218
66,1508.73456327101,14.0970627946964,38.2199092603267
67,1508.75933260233,14.0975625,38.225
68,1508.79757733315,14.1027052901714,38.2289750701946
69,1508.79823695968,14.0966669647383,38.2315340058261
70,1508.76571350339,14.08058659003,38.2332916834276
71,1508.78710400477,14.0807175427437,38.2366258904946
72,1508.82537225683,14.0851620576942,38.2424009355167
73,1508.8462257465,14.0854125,38.245
74,1508.86199743402,14.0838657222586,38.248139920155
75,1508.87837697615,14.0825564814815,38.2511574074074
76,1508.89654321801,14.0823202377696,38.2528551972691
77,1508.92651429749,14.084275,38.258375
78,1508.93386510068,14.0811632595331,38.258793550501
