numer_sta;date;lat;lon;t;td;u;dd;ff;pmer;tmer;HwaHwa;PwaPwa;dwadwa;Hw1Hw1;Pw1Pw1;dw1dw1;Hw2Hw2;Pw2Pw2;dw2dw2;tend;cod_tend;vv;ww;w1;w2;n;nbas;hbas;cl;cm;ch;rafper;per;phenspe1;phenspe2;
6101032;20250301020000;41.610000;10.190000;286.350000;282.550000;78.000000;120.000000;3.400000;101730;287.650000;0.300000;3.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;4.700000;-10;mq;mq
6101034;20250301020000;41.570000;5.510000;285.450000;281.550000;77.000000;330.000000;3.900000;101610;286.750000;0.500000;4.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;6.300000;-10;mq;mq
6101035;20250301020000;40.490000;6.690000;286.550000;282.050000;74.000000;50.000000;5.000000;101560;288.150000;0.500000;5.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;6.500000;-10;mq;mq
6200001;20250301020000;45.230000;-5.010000;284.050000;278.150000;67.000000;70.000000;8.800000;102430;mq;2.000000;6.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;12.900000;-10;mq;mq
6200001;20250301025000;45.233000;-5.014000;mq;mq;mq;mq;mq;mq;mq;2.000000;5.500000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;-10;mq;mq
4100300;20250301030000;15.850000;-57.490000;299.350000;293.250000;69.000000;80.000000;7.700000;101710;299.850000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;11.200000;-10;mq;mq
6100001;20250301030000;43.380000;7.830000;286.250000;283.050000;81.000000;60.000000;7.800000;101700;287.350000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;10.800000;-10;mq;mq
6101031;20250301030000;41.750000;7.570000;286.350000;282.250000;76.000000;90.000000;2.300000;101600;287.350000;0.600000;4.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;3.600000;-10;mq;mq
6101032;20250301030000;41.610000;10.190000;286.350000;282.450000;77.000000;110.000000;3.400000;101680;287.650000;0.300000;3.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;4.700000;-10;mq;mq
6101034;20250301030000;41.570000;5.510000;285.450000;281.550000;77.000000;350.000000;4.300000;101550;286.750000;0.600000;4.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;6.100000;-10;mq;mq
